"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-Uni. Catolica","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-05 07:34:33.899826,"Over 0.5"
"2",NA,"-Uni. Catolica","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-172,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-05 07:34:33.899826,"Under 0.5"
"3",NA,"-Uni. Catolica","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,675,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-05 07:34:33.899826,"Over 1.5"
"4",NA,"-Uni. Catolica","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-1429,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-05 07:34:33.899826,"Under 1.5"
"5",NA,"-Uni. Catolica","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,2800,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-05 07:34:33.899826,"Over 2.5"
"6",NA,"-Uni. Catolica","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-05 07:34:33.899826,"Under 2.5"
"7",NA,"-Uni. Catolica","1st Half Result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,"1st Half Betting",NA,2023-10-05 07:34:33.899826,NA
"8",NA,"-Uni. Catolica","1st Half Result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,"1st Half Betting",NA,2023-10-05 07:34:33.899826,"Draw"
"9",NA,"-Uni. Catolica","1st Half Result",NA,NA,NA,NA,NA,"Uni. Catolica",NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,"1st Half Betting",NA,2023-10-05 07:34:33.899826,"Uni. Catolica"
"10",NA,"-Uni. Catolica","3way Handicap (1) - 1st Half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-400,NA,NA,NA,NA,NA,"1st Half Handicap +1",NA,2023-10-05 07:34:33.899826,NA
