"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"AIK-Mjallby",NA,"Away Team Total Goals 0.5 - 1st Half",NA,"1st Half Away Team Over/Under 0.5 Goals",NA,NA,NA,"Over",NA,"Over",NA,NA,NA,165,NA,165,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-01 08:29:48.378236,"Over"
"2",NA,"AIK-Mjallby",NA,"Away Team Total Goals 0.5 - 1st Half",NA,"1st Half Away Team Over/Under 0.5 Goals",NA,NA,NA,"Under",NA,"Under",NA,NA,NA,-245,NA,-210,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-01 08:29:48.378236,"Under"
"3",NA,"AIK-Mjallby",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,850,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-01 08:29:48.378236,"Over"
"4",NA,"AIK-Mjallby",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-1800,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-01 08:29:48.378236,"Under"
"5",NA,"AIK-Mjallby",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,2200,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-01 08:29:48.378236,"Over"
"6",NA,"AIK-Mjallby",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-15000,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-01 08:29:48.378236,"Under"
"7",NA,"AIK-Mjallby",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,5000,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-01 08:29:48.378236,"Over"
"8",NA,"AIK-Mjallby",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-200000,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-01 08:29:48.378236,"Under"
"9",NA,"AIK-Mjallby",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-01 08:29:48.378236,"Over"
"10",NA,"AIK-Mjallby",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-2500000,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-01 08:29:48.378236,"Under"
