"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Eintracht Braunschweig-VfL Osnabruck","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,"Over 0.5",NA,NA,NA,"Over",NA,115,NA,NA,NA,116,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-11-03 16:58:14.459791,"Over 0.5"
"2",NA,"Eintracht Braunschweig-VfL Osnabruck","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,"Under 0.5",NA,NA,NA,"Under",NA,-161,NA,NA,NA,-148,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-11-03 16:58:14.459791,"Under 0.5"
"3",NA,"Eintracht Braunschweig-VfL Osnabruck","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,"Over 1.5",NA,NA,NA,"Over",NA,625,NA,NA,NA,740,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-11-03 16:58:14.459791,"Over 1.5"
"4",NA,"Eintracht Braunschweig-VfL Osnabruck","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,"Under 1.5",NA,NA,NA,"Under",NA,-1250,NA,NA,NA,-1350,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-11-03 16:58:14.459791,"Under 1.5"
"5",NA,"Eintracht Braunschweig-VfL Osnabruck","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,"Over 2.5",NA,NA,NA,"Over",NA,2500,NA,NA,NA,4000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-11-03 16:58:14.459791,"Over 2.5"
"6",NA,"Eintracht Braunschweig-VfL Osnabruck","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,"Under 2.5",NA,NA,NA,"Under",NA,NA,NA,NA,NA,-8000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-11-03 16:58:14.459791,"Under 2.5"
"7",NA,"Eintracht Braunschweig-VfL Osnabruck",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-11-03 16:58:14.459791,"Under"
"8",NA,"Eintracht Braunschweig-VfL Osnabruck",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-11-03 16:58:14.459791,"Over"
"9",NA,"Eintracht Braunschweig-VfL Osnabruck",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-11-03 16:58:14.459791,"Under"
"10",NA,"Eintracht Braunschweig-VfL Osnabruck",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-11-03 16:58:14.459791,"Over"
