"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-225,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-07 14:25:21.04733,"Under"
"2",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,172,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-07 14:25:21.04733,"Over"
"3",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-2400,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-07 14:25:21.04733,"Under"
"4",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,1240,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-07 14:25:21.04733,"Over"
"5",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,8000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-07 14:25:21.04733,"Over"
"6",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-20000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-07 14:25:21.04733,"Under"
"7",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-07 14:25:21.04733,"Under"
"8",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-07 14:25:21.04733,"Over"
"9",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-07 14:25:21.04733,"Under"
"10",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-07 14:25:21.04733,"Over"
"11",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Half-Time Result",NA,NA,NA,NA,NA,"AEK Athens",NA,NA,NA,NA,NA,145,NA,"1st Half Betting",NA,2023-10-07 14:25:21.04733,"AEK Athens"
"12",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Half-Time Result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,105,NA,"1st Half Betting",NA,2023-10-07 14:25:21.04733,"Draw"
"13",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Half-Time Result",NA,NA,NA,NA,NA,"PAOK",NA,NA,NA,NA,NA,380,NA,"1st Half Betting",NA,2023-10-07 14:25:21.04733,"PAOK"
"14",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"First Half Spread 1",NA,NA,NA,NA,NA,"PAOK",NA,NA,NA,NA,NA,-210,NA,"1st Half Handicap +1",NA,2023-10-07 14:25:21.04733,"PAOK"
"15",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"First Half Spread -1",NA,NA,NA,NA,NA,"AEK Athens",NA,NA,NA,NA,NA,700,NA,"1st Half Handicap -1",NA,2023-10-07 14:25:21.04733,"AEK Athens"
"16",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"First Half Spread -1",NA,NA,NA,NA,NA,"Handicap Draw",NA,NA,NA,NA,NA,220,NA,"1st Half Handicap -1",NA,2023-10-07 14:25:21.04733,"Handicap Draw"
"17",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Home Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-118,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-07 14:25:21.04733,"Over"
"18",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Home Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-108,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-07 14:25:21.04733,"Under"
"19",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Home Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-850,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-07 14:25:21.04733,"Under"
"20",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Home Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,520,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-07 14:25:21.04733,"Over"
"21",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Home Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-6000,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-10-07 14:25:21.04733,"Under"
"22",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Home Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,2500,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-10-07 14:25:21.04733,"Over"
"23",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Home Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-50000,NA,"1st Half Home Team Over/Under 3.5 Goals",NA,2023-10-07 14:25:21.04733,"Under"
"24",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Home Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Home Team Over/Under 3.5 Goals",NA,2023-10-07 14:25:21.04733,"Over"
"25",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Home Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Home Team Over/Under 4.5 Goals",NA,2023-10-07 14:25:21.04733,"Under"
"26",NA,"AEK Athens-PAOK",NA,NA,NA,NA,"Home Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Home Team Over/Under 4.5 Goals",NA,2023-10-07 14:25:21.04733,"Over"
