"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-FeralpiSalo","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,"Over 0.5",NA,NA,NA,"Over",NA,160,NA,NA,NA,166,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-01 10:14:19.098179,"Over 0.5"
"2",NA,"-FeralpiSalo","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,"Under 0.5",NA,NA,NA,"Under",NA,-227,NA,NA,NA,-215,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-01 10:14:19.098179,"Under 0.5"
"3",NA,"-FeralpiSalo","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,"Over 1.5",NA,NA,NA,"Over",NA,950,NA,NA,NA,1140,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-01 10:14:19.098179,"Over 1.5"
"4",NA,"-FeralpiSalo","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,"Under 1.5",NA,NA,NA,"Under",NA,-2500,NA,NA,NA,-2400,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-01 10:14:19.098179,"Under 1.5"
"5",NA,"-FeralpiSalo","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,"Over 2.5",NA,NA,NA,"Over",NA,4000,NA,NA,NA,8000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-01 10:14:19.098179,"Over 2.5"
"6",NA,"-FeralpiSalo","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,"Under 2.5",NA,NA,NA,"Under",NA,NA,NA,NA,NA,-20000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-01 10:14:19.098179,"Under 2.5"
"7",NA,"-FeralpiSalo",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-01 10:14:19.098179,"Under"
"8",NA,"-FeralpiSalo",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-01 10:14:19.098179,"Over"
"9",NA,"-FeralpiSalo",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-01 10:14:19.098179,"Under"
"10",NA,"-FeralpiSalo",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-01 10:14:19.098179,"Over"
"11",NA,"-FeralpiSalo","1st Half Result",NA,NA,NA,"Half-Time Result",NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,NA,"1st Half Betting",NA,2023-10-01 10:14:19.098179,NA
"12",NA,"-FeralpiSalo","1st Half Result",NA,NA,NA,"Half-Time Result",NA,"Draw",NA,NA,NA,"Draw",NA,-105,NA,NA,NA,-105,NA,"1st Half Betting",NA,2023-10-01 10:14:19.098179,"Draw"
"13",NA,"-FeralpiSalo","1st Half Result",NA,NA,NA,"Half-Time Result",NA,"FeralpiSalo",NA,NA,NA,"FeralpiSalo",NA,290,NA,NA,NA,320,NA,"1st Half Betting",NA,2023-10-01 10:14:19.098179,"FeralpiSalo"
"14",NA,"-FeralpiSalo","3way Handicap (1) - 1st Half",NA,NA,NA,"First Half Spread 1",NA,NA,NA,NA,NA,"FeralpiSalo",NA,-455,NA,NA,NA,-280,NA,"1st Half Handicap +1",NA,2023-10-01 10:14:19.098179,"FeralpiSalo"
"15",NA,"-FeralpiSalo","3way Handicap (1) - 1st Half",NA,NA,NA,"First Half Spread 1",NA,NA,NA,NA,NA,"FeralpiSalo",NA,375,NA,NA,NA,-280,NA,"1st Half Handicap +1",NA,2023-10-01 10:14:19.098179,"FeralpiSalo"
