"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","england---premier-league","Arsenal-Newcastle","Away Team - Total Goals (0.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Over 0.5",NA,"Over","Over","Over","Over 0.5",170,NA,170,165,174,185,"1st Half Away Team Over/Under 0.5 Goals","2024-02-24T20:00:00.0000000Z",2024-02-21 08:27:43.756314,"Over 0.5"
"2","england---premier-league","Arsenal-Newcastle","Away Team - Total Goals (0.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Under 0.5",NA,"Under","Under","Under","Under 0.5",-244,NA,-245,-220,-225,-250,"1st Half Away Team Over/Under 0.5 Goals","2024-02-24T20:00:00.0000000Z",2024-02-21 08:27:43.756314,"Under 0.5"
"3","england---premier-league","Arsenal-Newcastle","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Over 1.5",NA,"Over","Over","Over","Over 1.5",1050,NA,950,900,1240,1100,"1st Half Away Team Over/Under 1.5 Goals","2024-02-24T20:00:00.0000000Z",2024-02-21 08:27:43.756314,"Over 1.5"
"4","england---premier-league","Arsenal-Newcastle","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Under 1.5",NA,"Under","Under","Under","Under 1.5",-2857,NA,-4000,-2500,-2400,-2500,"1st Half Away Team Over/Under 1.5 Goals","2024-02-24T20:00:00.0000000Z",2024-02-21 08:27:43.756314,"Under 1.5"
"5",NA,"Arsenal-Newcastle","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Over 2.5",NA,NA,"Over","Over",NA,4500,NA,NA,1800,9000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2024-02-21 08:27:43.756314,"Over 2.5"
"6",NA,"Arsenal-Newcastle","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Under 2.5",NA,NA,"Under","Under",NA,NA,NA,NA,-20000,-50000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2024-02-21 08:27:43.756314,"Under 2.5"
"7",NA,"Arsenal-Newcastle",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,3000,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2024-02-21 08:27:43.756314,"Over"
"8",NA,"Arsenal-Newcastle",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-100000,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2024-02-21 08:27:43.756314,"Under"
"9",NA,"Arsenal-Newcastle",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,3000,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2024-02-21 08:27:43.756314,"Over"
"10",NA,"Arsenal-Newcastle",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-100000,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2024-02-21 08:27:43.756314,"Under"
