"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","champions-league","FC Copenhagen-Man City","Away Team - Total Goals (0.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Over 0.5",NA,"Over","Over","Over","Over 0.5",-233,NA,-240,-220,-250,-260,"1st Half Away Team Over/Under 0.5 Goals","2024-02-13T20:00:00.0000000Z",2024-02-12 11:40:32.674032,"Over 0.5"
"2","champions-league","FC Copenhagen-Man City","Away Team - Total Goals (0.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Under 0.5",NA,"Under","Under","Under","Under 0.5",160,NA,180,165,188,190,"1st Half Away Team Over/Under 0.5 Goals","2024-02-13T20:00:00.0000000Z",2024-02-12 11:40:32.674032,"Under 0.5"
"3","champions-league","FC Copenhagen-Man City","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Over 1.5",NA,"Over","Over","Over","Over 1.5",195,NA,200,200,220,220,"1st Half Away Team Over/Under 1.5 Goals","2024-02-13T20:00:00.0000000Z",2024-02-12 11:40:32.674032,"Over 1.5"
"4","champions-league","FC Copenhagen-Man City","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Under 1.5",NA,"Under","Under","Under","Under 1.5",-294,NA,-270,-280,-300,-300,"1st Half Away Team Over/Under 1.5 Goals","2024-02-13T20:00:00.0000000Z",2024-02-12 11:40:32.674032,"Under 1.5"
"5","champions-league","FC Copenhagen-Man City","Away Team - Total Goals (2.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 2.5","1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals","away team total 1st half 2.5","Over 2.5",NA,"Over","Over","Over","Over 2.5",675,NA,650,600,920,900,"1st Half Away Team Over/Under 2.5 Goals","2024-02-13T20:00:00.0000000Z",2024-02-12 11:40:32.674032,"Over 2.5"
"6","champions-league","FC Copenhagen-Man City","Away Team - Total Goals (2.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 2.5","1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals","away team total 1st half 2.5","Under 2.5",NA,"Under","Under","Under","Under 2.5",-1429,NA,-1400,-1200,-1800,-1748,"1st Half Away Team Over/Under 2.5 Goals","2024-02-13T20:00:00.0000000Z",2024-02-12 11:40:32.674032,"Under 2.5"
"7",NA,"FC Copenhagen-Man City",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals","away team total 1st half 3.5",NA,NA,NA,"Over","Over","Over 3.5",NA,NA,NA,1200,3800,3500,"1st Half Away Team Over/Under 3.5 Goals",NA,2024-02-12 11:40:32.674032,"Over"
"8",NA,"FC Copenhagen-Man City",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals","away team total 1st half 3.5",NA,NA,NA,"Under","Under","Under 3.5",NA,NA,NA,-7500,-8000,-20000,"1st Half Away Team Over/Under 3.5 Goals",NA,2024-02-12 11:40:32.674032,"Under"
"9",NA,"FC Copenhagen-Man City",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,2000,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2024-02-12 11:40:32.674032,"Over"
"10",NA,"FC Copenhagen-Man City",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-30000,-50000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2024-02-12 11:40:32.674032,"Under"
