"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,125,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-09-22 23:47:48.626517,"Over 0.5"
"2",NA,"-",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-175,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-09-22 23:47:48.626517,"Under 0.5"
"3",NA,"-",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,600,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-09-22 23:47:48.626517,"Over 1.5"
"4",NA,"-",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-1499,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-09-22 23:47:48.626517,"Under 1.5"
"5",NA,"-",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,"1st Half Betting",NA,2023-09-22 23:47:48.626517,NA
"6",NA,"-",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,"1st Half Betting",NA,2023-09-22 23:47:48.626517,NA
"7",NA,"-",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,160,"1st Half Betting",NA,2023-09-22 23:47:48.626517,"Draw"
"8",NA,"-",NA,NA,NA,NA,NA,"home team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-205,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-09-22 23:47:48.626517,"Over 0.5"
"9",NA,"-",NA,NA,NA,NA,NA,"home team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,145,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-09-22 23:47:48.626517,"Under 0.5"
"10",NA,"-",NA,NA,NA,NA,NA,"home team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,245,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-09-22 23:47:48.626517,"Over 1.5"
"11",NA,"-",NA,NA,NA,NA,NA,"home team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-375,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-09-22 23:47:48.626517,"Under 1.5"
"12",NA,"-",NA,NA,NA,NA,NA,"1st half goals 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-450,"1st Half Over/Under 0.5 Goals",NA,2023-09-22 23:47:48.626517,"Over 0.5"
"13",NA,"-",NA,NA,NA,NA,NA,"1st half goals 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,290,"1st Half Over/Under 0.5 Goals",NA,2023-09-22 23:47:48.626517,"Under 0.5"
"14",NA,"-",NA,NA,NA,NA,NA,"1st half goals 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,114,"1st Half Over/Under 1.5 Goals",NA,2023-09-22 23:47:48.626517,"Over 1.5"
"15",NA,"-",NA,NA,NA,NA,NA,"1st half goals 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-155,"1st Half Over/Under 1.5 Goals",NA,2023-09-22 23:47:48.626517,"Under 1.5"
"16",NA,"-",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-180,"90 Minutes",NA,2023-09-22 23:47:48.626517,NA
"17",NA,"-",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,"90 Minutes",NA,2023-09-22 23:47:48.626517,NA
"18",NA,"-",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,350,"90 Minutes",NA,2023-09-22 23:47:48.626517,"Draw"
"19",NA,"-",NA,NA,NA,NA,NA,"away team total 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-250,"Away Team Over/Under 0.5 Goals",NA,2023-09-22 23:47:48.626517,"Over 0.5"
"20",NA,"-",NA,NA,NA,NA,NA,"away team total 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,175,"Away Team Over/Under 0.5 Goals",NA,2023-09-22 23:47:48.626517,"Under 0.5"
"21",NA,"-",NA,NA,NA,NA,NA,"away team total 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,185,"Away Team Over/Under 1.5 Goals",NA,2023-09-22 23:47:48.626517,"Over 1.5"
"22",NA,"-",NA,NA,NA,NA,NA,"away team total 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-260,"Away Team Over/Under 1.5 Goals",NA,2023-09-22 23:47:48.626517,"Under 1.5"
"23",NA,"-",NA,NA,NA,NA,NA,"away team total 2.5",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,575,"Away Team Over/Under 2.5 Goals",NA,2023-09-22 23:47:48.626517,"Over 2.5"
"24",NA,"-",NA,NA,NA,NA,NA,"away team total 2.5",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-1250,"Away Team Over/Under 2.5 Goals",NA,2023-09-22 23:47:48.626517,"Under 2.5"
"25",NA,"-",NA,NA,NA,NA,NA,"away team total 3.5",NA,NA,NA,NA,NA,"Over 3.5",NA,NA,NA,NA,NA,1075,"Away Team Over/Under 3.5 Goals",NA,2023-09-22 23:47:48.626517,"Over 3.5"
"26",NA,"-",NA,NA,NA,NA,NA,"away team total 3.5",NA,NA,NA,NA,NA,"Under 3.5",NA,NA,NA,NA,NA,-10000,"Away Team Over/Under 3.5 Goals",NA,2023-09-22 23:47:48.626517,"Under 3.5"
"27",NA,"-",NA,NA,NA,NA,NA,"both teams to score",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,-185,"Both Teams To Score",NA,2023-09-22 23:47:48.626517,"Yes"
"28",NA,"-",NA,NA,NA,NA,NA,"both teams to score",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,135,"Both Teams To Score",NA,2023-09-22 23:47:48.626517,"No"
"29",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,"Correct Score",NA,2023-09-22 23:47:48.626517,NA
"30",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,"Correct Score",NA,2023-09-22 23:47:48.626517,NA
"31",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,"Correct Score",NA,2023-09-22 23:47:48.626517,NA
