"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-110,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-07 14:47:23.206642,"Over 0.5"
"2",NA,"-",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-125,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-07 14:47:23.206642,"Under 0.5"
"3",NA,"-",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,470,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-07 14:47:23.206642,"Over 1.5"
"4",NA,"-",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-950,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-07 14:47:23.206642,"Under 1.5"
"5",NA,"-",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,"1st Half Betting",NA,2023-10-07 14:47:23.206642,NA
"6",NA,"-",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,"1st Half Betting",NA,2023-10-07 14:47:23.206642,NA
"7",NA,"-",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,130,"1st Half Betting",NA,2023-10-07 14:47:23.206642,"Draw"
"8",NA,"-",NA,NA,NA,NA,NA,"home team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-130,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-07 14:47:23.206642,"Over 0.5"
"9",NA,"-",NA,NA,NA,NA,NA,"home team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-105,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-07 14:47:23.206642,"Under 0.5"
"10",NA,"-",NA,NA,NA,NA,NA,"home team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,390,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-07 14:47:23.206642,"Over 1.5"
"11",NA,"-",NA,NA,NA,NA,NA,"home team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-700,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-07 14:47:23.206642,"Under 1.5"
"12",NA,"-",NA,NA,NA,NA,NA,"1st half goals 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-375,"1st Half Over/Under 0.5 Goals",NA,2023-10-07 14:47:23.206642,"Over 0.5"
"13",NA,"-",NA,NA,NA,NA,NA,"1st half goals 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,250,"1st Half Over/Under 0.5 Goals",NA,2023-10-07 14:47:23.206642,"Under 0.5"
"14",NA,"-",NA,NA,NA,NA,NA,"1st half goals 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,132,"1st Half Over/Under 1.5 Goals",NA,2023-10-07 14:47:23.206642,"Over 1.5"
"15",NA,"-",NA,NA,NA,NA,NA,"1st half goals 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-180,"1st Half Over/Under 1.5 Goals",NA,2023-10-07 14:47:23.206642,"Under 1.5"
"16",NA,"-",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,"90 Minutes",NA,2023-10-07 14:47:23.206642,NA
"17",NA,"-",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,"90 Minutes",NA,2023-10-07 14:47:23.206642,NA
"18",NA,"-",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,260,"90 Minutes",NA,2023-10-07 14:47:23.206642,"Draw"
"19",NA,"-",NA,NA,NA,NA,NA,"away team total 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-450,"Away Team Over/Under 0.5 Goals",NA,2023-10-07 14:47:23.206642,"Over 0.5"
"20",NA,"-",NA,NA,NA,NA,NA,"away team total 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,290,"Away Team Over/Under 0.5 Goals",NA,2023-10-07 14:47:23.206642,"Under 0.5"
"21",NA,"-",NA,NA,NA,NA,NA,"away team total 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,110,"Away Team Over/Under 1.5 Goals",NA,2023-10-07 14:47:23.206642,"Over 1.5"
"22",NA,"-",NA,NA,NA,NA,NA,"away team total 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-150,"Away Team Over/Under 1.5 Goals",NA,2023-10-07 14:47:23.206642,"Under 1.5"
"23",NA,"-",NA,NA,NA,NA,NA,"away team total 2.5",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,360,"Away Team Over/Under 2.5 Goals",NA,2023-10-07 14:47:23.206642,"Over 2.5"
"24",NA,"-",NA,NA,NA,NA,NA,"away team total 2.5",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-600,"Away Team Over/Under 2.5 Goals",NA,2023-10-07 14:47:23.206642,"Under 2.5"
"25",NA,"-",NA,NA,NA,NA,NA,"away team total 3.5",NA,NA,NA,NA,NA,"Over 3.5",NA,NA,NA,NA,NA,850,"Away Team Over/Under 3.5 Goals",NA,2023-10-07 14:47:23.206642,"Over 3.5"
"26",NA,"-",NA,NA,NA,NA,NA,"away team total 3.5",NA,NA,NA,NA,NA,"Under 3.5",NA,NA,NA,NA,NA,-3333,"Away Team Over/Under 3.5 Goals",NA,2023-10-07 14:47:23.206642,"Under 3.5"
"27",NA,"-",NA,NA,NA,NA,NA,"both teams to score",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,-215,"Both Teams To Score",NA,2023-10-07 14:47:23.206642,"Yes"
"28",NA,"-",NA,NA,NA,NA,NA,"both teams to score",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,155,"Both Teams To Score",NA,2023-10-07 14:47:23.206642,"No"
"29",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"30",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"31",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"32",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"33",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"34",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"35",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"36",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"37",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"38",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"39",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"40",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"41",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"42",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"43",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"44",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"45",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,"Correct Score",NA,2023-10-07 14:47:23.206642,NA
"46",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,"Draw 0-0",NA,NA,NA,NA,NA,1500,"Correct Score",NA,2023-10-07 14:47:23.206642,"Draw 0-0"
"47",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,"Draw 1-1",NA,NA,NA,NA,NA,650,"Correct Score",NA,2023-10-07 14:47:23.206642,"Draw 1-1"
"48",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,"Draw 2-2",NA,NA,NA,NA,NA,900,"Correct Score",NA,2023-10-07 14:47:23.206642,"Draw 2-2"
"49",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,"Draw 3-3",NA,NA,NA,NA,NA,3000,"Correct Score",NA,2023-10-07 14:47:23.206642,"Draw 3-3"
"50",NA,"-",NA,NA,NA,NA,NA,"correct score",NA,NA,NA,NA,NA,"Draw 4-4",NA,NA,NA,NA,NA,10000,"Correct Score",NA,2023-10-07 14:47:23.206642,"Draw 4-4"
"51",NA,"-",NA,NA,NA,NA,NA,"double chance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-240,"Double Chance",NA,2023-10-07 14:47:23.206642,NA
"52",NA,"-",NA,NA,NA,NA,NA,"double chance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-350,"Double Chance",NA,2023-10-07 14:47:23.206642,NA
