"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-Santos Laguna",NA,"Away Team Total Goals 0.5 - 1st Half",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-186,NA,NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2024-01-30 07:18:21.538129,"Under"
"2",NA,"-Santos Laguna",NA,"Away Team Total Goals 0.5 - 1st Half",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,117,NA,NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2024-01-30 07:18:21.538129,"Over"
"3",NA,"-Santos Laguna",NA,"Half Time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,"1st Half Betting",NA,2024-01-30 07:18:21.538129,NA
"4",NA,"-Santos Laguna",NA,"Half Time",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,110,NA,NA,NA,NA,"1st Half Betting",NA,2024-01-30 07:18:21.538129,"Draw"
"5",NA,"-Santos Laguna",NA,"Half Time",NA,NA,NA,NA,NA,"Santos Laguna",NA,NA,NA,NA,NA,270,NA,NA,NA,NA,"1st Half Betting",NA,2024-01-30 07:18:21.538129,"Santos Laguna"
"6",NA,"-Santos Laguna",NA,"3-Way Spread - 1st Half 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-500,NA,NA,NA,NA,"1st Half Handicap +1",NA,2024-01-30 07:18:21.538129,NA
"7",NA,"-Santos Laguna",NA,"3-Way Spread - 1st Half 1",NA,NA,NA,NA,NA,"Santos Laguna",NA,NA,NA,NA,NA,-335,NA,NA,NA,NA,"1st Half Handicap +1",NA,2024-01-30 07:18:21.538129,"Santos Laguna"
"8",NA,"-Santos Laguna",NA,"3-Way Spread - 1st Half 1",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,350,NA,NA,NA,NA,"1st Half Handicap +1",NA,2024-01-30 07:18:21.538129,"Draw"
"9",NA,"-Santos Laguna",NA,"3-Way Spread - 1st Half -1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,NA,NA,NA,NA,"1st Half Handicap -1",NA,2024-01-30 07:18:21.538129,NA
"10",NA,"-Santos Laguna",NA,"3-Way Spread - 1st Half -1",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,275,NA,NA,NA,NA,"1st Half Handicap -1",NA,2024-01-30 07:18:21.538129,"Draw"
"11",NA,"-Santos Laguna",NA,"3-Way Spread - 1st Half -1",NA,NA,NA,NA,NA,"Santos Laguna",NA,NA,NA,NA,NA,1200,NA,NA,NA,NA,"1st Half Handicap -1",NA,2024-01-30 07:18:21.538129,"Santos Laguna"
