"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-145,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 0.5"
"2",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,110,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 0.5"
"3",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-1099,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 1.5"
"4",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,600,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 1.5"
"5",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 2.5",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-14925,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 2.5"
"6",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 2.5",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,2800,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 2.5"
"7",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,"1st Half Betting",NA,2023-10-02 10:45:05.382224,NA
"8",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,220,"1st Half Betting",NA,2023-10-02 10:45:05.382224,"Eintracht Frankfurt"
"9",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,110,"1st Half Betting",NA,2023-10-02 10:45:05.382224,"Draw"
"10",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-300,"1st Half Handicap +1",NA,2023-10-02 10:45:05.382224,NA
"11",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 1",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,310,"1st Half Handicap +1",NA,2023-10-02 10:45:05.382224,"Draw "
"12",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 1",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,-325,"1st Half Handicap +1",NA,2023-10-02 10:45:05.382224,"Eintracht Frankfurt"
"13",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2247,"1st Half Handicap +2",NA,2023-10-02 10:45:05.382224,NA
"14",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 2",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,1200,"1st Half Handicap +2",NA,2023-10-02 10:45:05.382224,"Draw "
"15",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 2",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,-2000,"1st Half Handicap +2",NA,2023-10-02 10:45:05.382224,"Eintracht Frankfurt"
"16",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29412,"1st Half Handicap +3",NA,2023-10-02 10:45:05.382224,NA
"17",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 3",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,5000,"1st Half Handicap +3",NA,2023-10-02 10:45:05.382224,"Draw "
"18",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 3",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,-29412,"1st Half Handicap +3",NA,2023-10-02 10:45:05.382224,"Eintracht Frankfurt"
"19",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"1st Half Handicap -1",NA,2023-10-02 10:45:05.382224,NA
"20",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -1",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,1050,"1st Half Handicap -1",NA,2023-10-02 10:45:05.382224,"Eintracht Frankfurt"
"21",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -1",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,330,"1st Half Handicap -1",NA,2023-10-02 10:45:05.382224,"Draw "
"22",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,"1st Half Handicap -2",NA,2023-10-02 10:45:05.382224,NA
"23",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -2",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,4500,"1st Half Handicap -2",NA,2023-10-02 10:45:05.382224,"Eintracht Frankfurt"
"24",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -2",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,1100,"1st Half Handicap -2",NA,2023-10-02 10:45:05.382224,"Draw "
"25",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,"1st Half Handicap -3",NA,2023-10-02 10:45:05.382224,NA
"26",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -3",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,25000,"1st Half Handicap -3",NA,2023-10-02 10:45:05.382224,"Eintracht Frankfurt"
"27",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -3",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,5000,"1st Half Handicap -3",NA,2023-10-02 10:45:05.382224,"Draw "
"28",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"home team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-145,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 0.5"
"29",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"home team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,110,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 0.5"
"30",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"home team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-1099,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 1.5"
"31",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"home team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,600,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 1.5"
"32",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"home team total 1st half 2.5",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-14925,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 2.5"
"33",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"home team total 1st half 2.5",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,2800,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 2.5"
"34",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half goals 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,190,"1st Half Over/Under 0.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 0.5"
"35",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half goals 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-260,"1st Half Over/Under 0.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 0.5"
"36",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half goals 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-240,"1st Half Over/Under 1.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 1.5"
"37",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half goals 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,175,"1st Half Over/Under 1.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 1.5"
"38",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half goals 2.5",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-1099,"1st Half Over/Under 2.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 2.5"
"39",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half goals 2.5",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,600,"1st Half Over/Under 2.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 2.5"
"40",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half goals 3.5",NA,NA,NA,NA,NA,"Under 3.5",NA,NA,NA,NA,NA,-8929,"1st Half Over/Under 3.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 3.5"
"41",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half goals 3.5",NA,NA,NA,NA,NA,"Over 3.5",NA,NA,NA,NA,NA,2000,"1st Half Over/Under 3.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 3.5"
"42",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,"90 Minutes",NA,2023-10-02 10:45:05.382224,NA
"43",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,240,"90 Minutes",NA,2023-10-02 10:45:05.382224,"Draw"
"44",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,150,"90 Minutes",NA,2023-10-02 10:45:05.382224,"Eintracht Frankfurt"
"45",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,260,"Away Team Over/Under 0.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 0.5"
"46",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-375,"Away Team Over/Under 0.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 0.5"
"47",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-165,"Away Team Over/Under 1.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 1.5"
"48",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,125,"Away Team Over/Under 1.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 1.5"
"49",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 2.5",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-700,"Away Team Over/Under 2.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 2.5"
"50",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 2.5",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,425,"Away Team Over/Under 2.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 2.5"
"51",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 3.5",NA,NA,NA,NA,NA,"Under 3.5",NA,NA,NA,NA,NA,-3497,"Away Team Over/Under 3.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 3.5"
"52",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 3.5",NA,NA,NA,NA,NA,"Over 3.5",NA,NA,NA,NA,NA,1300,"Away Team Over/Under 3.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 3.5"
"53",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 4.5",NA,NA,NA,NA,NA,"Under 4.5",NA,NA,NA,NA,NA,-25000,"Away Team Over/Under 4.5 Goals",NA,2023-10-02 10:45:05.382224,"Under 4.5"
"54",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 4.5",NA,NA,NA,NA,NA,"Over 4.5",NA,NA,NA,NA,NA,4000,"Away Team Over/Under 4.5 Goals",NA,2023-10-02 10:45:05.382224,"Over 4.5"
"55",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"both teams to score",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,-150,"Both Teams To Score",NA,2023-10-02 10:45:05.382224,"Yes"
