"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-130,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-03 18:54:31.281042,"Under 0.5"
"2",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-100,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-03 18:54:31.281042,"Over 0.5"
"3",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-1000,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-03 18:54:31.281042,"Under 1.5"
"4",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,550,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-03 18:54:31.281042,"Over 1.5"
"5",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 2.5",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-12500,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-03 18:54:31.281042,"Under 2.5"
"6",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"away team total 1st half 2.5",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,2500,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-03 18:54:31.281042,"Over 2.5"
"7",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,"1st Half Betting",NA,2023-10-03 18:54:31.281042,NA
"8",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,210,"1st Half Betting",NA,2023-10-03 18:54:31.281042,"Eintracht Frankfurt"
"9",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,110,"1st Half Betting",NA,2023-10-03 18:54:31.281042,"Draw"
"10",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-290,"1st Half Handicap +1",NA,2023-10-03 18:54:31.281042,NA
"11",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 1",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,310,"1st Half Handicap +1",NA,2023-10-03 18:54:31.281042,"Draw "
"12",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 1",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,-350,"1st Half Handicap +1",NA,2023-10-03 18:54:31.281042,"Eintracht Frankfurt"
"13",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1748,"1st Half Handicap +2",NA,2023-10-03 18:54:31.281042,NA
"14",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 2",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,1100,"1st Half Handicap +2",NA,2023-10-03 18:54:31.281042,"Draw "
"15",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 2",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,-2500,"1st Half Handicap +2",NA,2023-10-03 18:54:31.281042,"Eintracht Frankfurt"
"16",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25000,"1st Half Handicap +3",NA,2023-10-03 18:54:31.281042,NA
"17",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 3",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,5000,"1st Half Handicap +3",NA,2023-10-03 18:54:31.281042,"Draw "
"18",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread 3",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,-40000,"1st Half Handicap +3",NA,2023-10-03 18:54:31.281042,"Eintracht Frankfurt"
"19",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,"1st Half Handicap -1",NA,2023-10-03 18:54:31.281042,NA
"20",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -1",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,900,"1st Half Handicap -1",NA,2023-10-03 18:54:31.281042,"Eintracht Frankfurt"
"21",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -1",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,350,"1st Half Handicap -1",NA,2023-10-03 18:54:31.281042,"Draw "
"22",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,"1st Half Handicap -2",NA,2023-10-03 18:54:31.281042,NA
"23",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -2",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,4000,"1st Half Handicap -2",NA,2023-10-03 18:54:31.281042,"Eintracht Frankfurt"
"24",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -2",NA,NA,NA,NA,NA,"Draw ",NA,NA,NA,NA,NA,1300,"1st Half Handicap -2",NA,2023-10-03 18:54:31.281042,"Draw "
"25",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,"1st Half Handicap -3",NA,2023-10-03 18:54:31.281042,NA
"26",NA,"-Eintracht Frankfurt",NA,NA,NA,NA,NA,"1st half 3-way spread -3",NA,NA,NA,NA,NA,"Eintracht Frankfurt",NA,NA,NA,NA,NA,15000,"1st Half Handicap -3",NA,2023-10-03 18:54:31.281042,"Eintracht Frankfurt"
