"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Botosani-FCSB","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half",NA,"1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals",NA,"Over 0.5","Over",NA,"Over","Over",NA,-143,-150,NA,-130,-142,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-04 11:08:05.866156,"Over 0.5"
"2",NA,"Botosani-FCSB","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half",NA,"1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals",NA,"Under 0.5","Under",NA,"Under","Under",NA,-100,100,NA,100,112,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-04 11:08:05.866156,"Under 0.5"
"3",NA,"Botosani-FCSB","Away Team - Total Goals (1.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals",NA,"Over 1.5",NA,NA,"Over","Over",NA,350,NA,NA,360,400,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-04 11:08:05.866156,"Over 1.5"
"4",NA,"Botosani-FCSB","Away Team - Total Goals (1.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals",NA,"Under 1.5",NA,NA,"Under","Under",NA,-556,NA,NA,-550,-650,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-04 11:08:05.866156,"Under 1.5"
"5",NA,"Botosani-FCSB","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Over 2.5",NA,NA,"Over","Over",NA,1300,NA,NA,1200,1750,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-04 11:08:05.866156,"Over 2.5"
"6",NA,"Botosani-FCSB","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Under 2.5",NA,NA,"Under","Under",NA,-5000,NA,NA,-4000,-4500,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-04 11:08:05.866156,"Under 2.5"
"7",NA,"Botosani-FCSB",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,2500,9000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-04 11:08:05.866156,"Over"
"8",NA,"Botosani-FCSB",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-20000,-50000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-04 11:08:05.866156,"Under"
"9",NA,"Botosani-FCSB",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,4500,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-04 11:08:05.866156,"Over"
"10",NA,"Botosani-FCSB",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-100000,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-04 11:08:05.866156,"Under"
