"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"1st Half Money Line",NA,NA,NA,NA,NA,"NFC Super Bowl Participant",NA,NA,NA,NA,NA,100,NA,NA,"1st Half Money Line",NA,2023-10-02 18:01:09,"NFC Super Bowl Participant"
"2",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"1st Half Money Line",NA,NA,NA,NA,NA,"AFC Super Bowl Participant",NA,NA,NA,NA,NA,-120,NA,NA,"1st Half Money Line",NA,2023-10-02 18:01:09,"AFC Super Bowl Participant"
"3",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"1st Half Spread -1",NA,NA,NA,NA,NA,"AFC Super Bowl Participant",NA,NA,NA,NA,NA,-110,NA,NA,"1st Half Spread -1",NA,2023-10-02 18:01:09,"AFC Super Bowl Participant"
"4",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"1st Half Spread 1",NA,NA,NA,NA,NA,"NFC Super Bowl Participant",NA,NA,NA,NA,NA,-110,NA,NA,"1st Half Spread 1",NA,2023-10-02 18:01:09,"NFC Super Bowl Participant"
"5",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"1st Half Total Points 25",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-110,NA,NA,"1st Half Total Points 25",NA,2023-10-02 18:01:09,"Over"
"6",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"1st Half Total Points 25",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-110,NA,NA,"1st Half Total Points 25",NA,2023-10-02 18:01:09,"Under"
"7",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"Money Line",NA,NA,NA,NA,NA,"NFC Super Bowl Participant",NA,NA,NA,NA,NA,110,NA,NA,"Money Line",NA,2023-10-02 18:01:09,"NFC Super Bowl Participant"
"8",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"Money Line",NA,NA,NA,NA,NA,"AFC Super Bowl Participant",NA,NA,NA,NA,NA,-130,NA,NA,"Money Line",NA,2023-10-02 18:01:09,"AFC Super Bowl Participant"
"9",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"Spread -2",NA,NA,NA,NA,NA,"AFC Super Bowl Participant",NA,NA,NA,NA,NA,-110,NA,NA,"Spread -2",NA,2023-10-02 18:01:09,"AFC Super Bowl Participant"
"10",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"Spread 2",NA,NA,NA,NA,NA,"NFC Super Bowl Participant",NA,NA,NA,NA,NA,-110,NA,NA,"Spread 2",NA,2023-10-02 18:01:09,"NFC Super Bowl Participant"
"11",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"Total Points 51",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-110,NA,NA,"Total Points 51",NA,2023-10-02 18:01:09,"Over"
"12",NA,"AFC Super Bowl Participant-NFC Super Bowl Participant",NA,NA,NA,"Total Points 51",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-110,NA,NA,"Total Points 51",NA,2023-10-02 18:01:09,"Under"
"13","nfl","Arizona Cardinals-Cincinnati Bengals",NA,NA,"Moneyline 1st Half","1st Half Money Line","1st Half Winner","Moneyline 1st Half",NA,NA,"Arizona Cardinals","Arizona Cardinals","Arizona Cardinals","Arizona Cardinals",NA,NA,130,130,120,125,"1st Half Money Line","2023-10-08T20:05:00.0000000Z",2023-10-02 18:01:09,"Arizona Cardinals"
"14","nfl","Arizona Cardinals-Cincinnati Bengals",NA,NA,"Moneyline 1st Half","1st Half Money Line","1st Half Winner","Moneyline 1st Half",NA,NA,"Cincinnati Bengals","Cincinnati Bengals","Cincinnati Bengals","Cincinnati Bengals",NA,NA,-155,-155,-146,-150,"1st Half Money Line","2023-10-08T20:05:00.0000000Z",2023-10-02 18:01:09,"Cincinnati Bengals"
"15",NA,"Arizona Cardinals-Cincinnati Bengals",NA,NA,NA,NA,"1st Half Spread -1.5","Point Spread 1st Half -1.5",NA,NA,NA,NA,"Cincinnati Bengals","Arizona Cardinals",NA,NA,NA,NA,-110,NA,"1st Half Spread -1.5",NA,2023-10-02 18:01:09,"Cincinnati Bengals"
"16",NA,"Arizona Cardinals-Cincinnati Bengals",NA,NA,NA,NA,NA,"Point Spread 1st Half -10.5",NA,NA,NA,NA,NA,"Cincinnati Bengals",NA,NA,NA,NA,NA,400,"1st Half Spread -10.5",NA,2023-10-02 18:01:09,"Cincinnati Bengals"
"17",NA,"Arizona Cardinals-Cincinnati Bengals",NA,NA,NA,NA,NA,"Point Spread 1st Half -12.5",NA,NA,NA,NA,NA,"Cincinnati Bengals",NA,NA,NA,NA,NA,500,"1st Half Spread -12.5",NA,2023-10-02 18:01:09,"Cincinnati Bengals"
"18","nfl","Arizona Cardinals-Cincinnati Bengals",NA,NA,"Spread 1st Half -2.5","1st Half Spread -2.5",NA,"Point Spread 1st Half -2.5",NA,NA,"Cincinnati Bengals","Cincinnati Bengals",NA,"Cincinnati Bengals",NA,NA,-110,-110,NA,-110,"1st Half Spread -2.5","2023-10-08T20:05:00.0000000Z",2023-10-02 18:01:09,"Cincinnati Bengals"
"19",NA,"Arizona Cardinals-Cincinnati Bengals",NA,NA,NA,NA,NA,"Point Spread 1st Half -3.5",NA,NA,NA,NA,NA,"Arizona Cardinals",NA,NA,NA,NA,NA,220,"1st Half Spread -3.5",NA,2023-10-02 18:01:09,"Arizona Cardinals"
"20",NA,"Arizona Cardinals-Cincinnati Bengals",NA,NA,NA,NA,NA,"Point Spread 1st Half -4.5",NA,NA,NA,NA,NA,"Cincinnati Bengals",NA,NA,NA,NA,NA,145,"1st Half Spread -4.5",NA,2023-10-02 18:01:09,"Cincinnati Bengals"
