"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","ireland---premier","Drogheda-Derry","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over","Over",NA,-161,-175,-155,-135,-150,NA,"1st Half Away Team Over/Under 0.5 Goals","2023-10-06T18:45:00.0000000Z",2023-10-06 09:01:33.316452,"Over 0.5"
"2","ireland---premier","Drogheda-Derry","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under","Under",NA,110,107,120,105,118,NA,"1st Half Away Team Over/Under 0.5 Goals","2023-10-06T18:45:00.0000000Z",2023-10-06 09:01:33.316452,"Under 0.5"
"3",NA,"Drogheda-Derry",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,330,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-06 09:01:33.316452,"Over"
"4",NA,"Drogheda-Derry",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-475,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-06 09:01:33.316452,"Under"
"5",NA,"Drogheda-Derry",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,1100,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-06 09:01:33.316452,"Over"
"6",NA,"Drogheda-Derry",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-3300,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-06 09:01:33.316452,"Under"
"7",NA,"Drogheda-Derry",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,2200,9000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-06 09:01:33.316452,"Over"
"8",NA,"Drogheda-Derry",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-15000,-50000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-06 09:01:33.316452,"Under"
"9",NA,"Drogheda-Derry",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-06 09:01:33.316452,"Under"
"10",NA,"Drogheda-Derry",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-06 09:01:33.316452,"Over"
