"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Charleston Battery-Birmingham Legion",NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5",NA,NA,NA,"Over","Over","Over 0.5",NA,NA,NA,130,125,122,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-14 13:37:18.377754,"Over"
"2",NA,"Charleston Battery-Birmingham Legion",NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5",NA,NA,NA,"Under","Under","Under 0.5",NA,NA,NA,-170,-175,-170,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-14 13:37:18.377754,"Under"
"3",NA,"Charleston Battery-Birmingham Legion",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,600,600,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-14 13:37:18.377754,"Over"
"4",NA,"Charleston Battery-Birmingham Legion",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-1200,-1600,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-14 13:37:18.377754,"Under"
"5",NA,"Charleston Battery-Birmingham Legion",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,1400,2500,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-14 13:37:18.377754,"Over"
"6",NA,"Charleston Battery-Birmingham Legion",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-10000,-20000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-14 13:37:18.377754,"Under"
"7",NA,"Charleston Battery-Birmingham Legion",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,3000,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-14 13:37:18.377754,"Over"
"8",NA,"Charleston Battery-Birmingham Legion",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-100000,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-14 13:37:18.377754,"Under"
"9",NA,"Charleston Battery-Birmingham Legion",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,3000,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-14 13:37:18.377754,"Over"
"10",NA,"Charleston Battery-Birmingham Legion",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-100000,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-14 13:37:18.377754,"Under"
