"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,210,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-04 11:09:41.906356,"Over"
"2",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-280,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-04 11:09:41.906356,"Under"
"3",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-3500,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-04 11:09:41.906356,"Under"
"4",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,1550,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-04 11:09:41.906356,"Over"
"5",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-04 11:09:41.906356,"Over"
"6",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-50000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-04 11:09:41.906356,"Under"
"7",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-04 11:09:41.906356,"Under"
"8",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-04 11:09:41.906356,"Over"
"9",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-04 11:09:41.906356,"Under"
"10",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-04 11:09:41.906356,"Over"
"11",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Half-Time Result",NA,NA,NA,NA,NA,"Aberdeen",NA,NA,NA,NA,NA,115,NA,"1st Half Betting",NA,2023-10-04 11:09:41.906356,"Aberdeen"
"12",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Half-Time Result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,110,NA,"1st Half Betting",NA,2023-10-04 11:09:41.906356,"Draw"
"13",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Half-Time Result",NA,NA,NA,NA,NA,"Dundee",NA,NA,NA,NA,NA,500,NA,"1st Half Betting",NA,2023-10-04 11:09:41.906356,"Dundee"
"14",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"First Half Spread 1",NA,NA,NA,NA,NA,"Dundee",NA,NA,NA,NA,NA,-170,NA,"1st Half Handicap +1",NA,2023-10-04 11:09:41.906356,"Dundee"
"15",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"First Half Spread -1",NA,NA,NA,NA,NA,"Handicap Draw",NA,NA,NA,NA,NA,200,NA,"1st Half Handicap -1",NA,2023-10-04 11:09:41.906356,"Handicap Draw"
