"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-280,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-06 20:05:30.348372,"Under"
"2",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,200,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-06 20:05:30.348372,"Over"
"3",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-3500,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-06 20:05:30.348372,"Under"
"4",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,1480,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-06 20:05:30.348372,"Over"
"5",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-06 20:05:30.348372,"Over"
"6",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-50000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-06 20:05:30.348372,"Under"
"7",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-06 20:05:30.348372,"Under"
"8",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-06 20:05:30.348372,"Over"
"9",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-06 20:05:30.348372,"Over"
"10",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-06 20:05:30.348372,"Under"
"11",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Half-Time Result",NA,NA,NA,NA,NA,"Aberdeen",NA,NA,NA,NA,NA,120,NA,"1st Half Betting",NA,2023-10-06 20:05:30.348372,"Aberdeen"
"12",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Half-Time Result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,110,NA,"1st Half Betting",NA,2023-10-06 20:05:30.348372,"Draw"
"13",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Half-Time Result",NA,NA,NA,NA,NA,"Dundee",NA,NA,NA,NA,NA,490,NA,"1st Half Betting",NA,2023-10-06 20:05:30.348372,"Dundee"
"14",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"First Half Spread 1",NA,NA,NA,NA,NA,"Dundee",NA,NA,NA,NA,NA,-175,NA,"1st Half Handicap +1",NA,2023-10-06 20:05:30.348372,"Dundee"
"15",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"First Half Spread -1",NA,NA,NA,NA,NA,"Aberdeen",NA,NA,NA,NA,NA,600,NA,"1st Half Handicap -1",NA,2023-10-06 20:05:30.348372,"Aberdeen"
"16",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"First Half Spread -1",NA,NA,NA,NA,NA,"Handicap Draw",NA,NA,NA,NA,NA,200,NA,"1st Half Handicap -1",NA,2023-10-06 20:05:30.348372,"Handicap Draw"
"17",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Home Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,104,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-06 20:05:30.348372,"Under"
"18",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Home Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-132,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-06 20:05:30.348372,"Over"
"19",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Home Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-700,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-06 20:05:30.348372,"Under"
"20",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Home Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,450,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-06 20:05:30.348372,"Over"
"21",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Home Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,2100,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-10-06 20:05:30.348372,"Over"
"22",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Home Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-5000,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-10-06 20:05:30.348372,"Under"
"23",NA,"Aberdeen-Dundee",NA,NA,NA,NA,"Home Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-50000,NA,"1st Half Home Team Over/Under 3.5 Goals",NA,2023-10-06 20:05:30.348372,"Under"
