"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Debrecen-Ujpest",NA,"Half Time",NA,NA,"Half-Time Result",NA,NA,"Debrecen",NA,NA,"Debrecen",NA,NA,150,NA,NA,135,NA,"1st Half Betting",NA,2023-09-22 11:10:49.091362,"Debrecen"
"2",NA,"Debrecen-Ujpest",NA,"Half Time",NA,NA,"Half-Time Result",NA,NA,"Draw",NA,NA,"Draw",NA,NA,115,NA,NA,115,NA,"1st Half Betting",NA,2023-09-22 11:10:49.091362,"Draw"
"3",NA,"Debrecen-Ujpest",NA,"Half Time",NA,NA,"Half-Time Result",NA,NA,"Ãjpest FC",NA,NA,"Ujpest",NA,NA,NA,NA,NA,360,NA,"1st Half Betting",NA,2023-09-22 11:10:49.091362,"Ãjpest FC"
"4",NA,"Debrecen-Ujpest",NA,"3-Way Spread - 1st Half 1",NA,NA,NA,NA,NA,"Ãjpest FC",NA,NA,NA,NA,NA,-265,NA,NA,NA,NA,"1st Half Handicap +1",NA,2023-09-22 11:10:49.091362,"Ãjpest FC"
"5",NA,"Debrecen-Ujpest",NA,"3-Way Spread - 1st Half -1",NA,NA,NA,NA,NA,"Debrecen",NA,NA,NA,NA,NA,650,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-09-22 11:10:49.091362,"Debrecen"
"6",NA,"Debrecen-Ujpest",NA,"3-Way Spread - 1st Half -1",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,235,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-09-22 11:10:49.091362,"Draw"
"7",NA,"Debrecen-Ujpest",NA,"Total Goals - 1st Half 0.5",NA,NA,"1st Half Over/Under 0.5 Goals",NA,NA,"Over",NA,NA,"Over 0.5",NA,NA,-305,NA,NA,-280,NA,"1st Half Over/Under 0.5 Goals",NA,2023-09-22 11:10:49.091362,"Over"
"8",NA,"Debrecen-Ujpest",NA,"Total Goals - 1st Half 0.5",NA,NA,"1st Half Over/Under 0.5 Goals",NA,NA,"Under",NA,NA,"Under 0.5",NA,NA,195,NA,NA,205,NA,"1st Half Over/Under 0.5 Goals",NA,2023-09-22 11:10:49.091362,"Under"
"9",NA,"Debrecen-Ujpest",NA,"Total Goals - 1st Half 1.5",NA,NA,"1st Half Over/Under 1.5 Goals",NA,NA,"Over",NA,NA,"Over 1.5",NA,NA,180,NA,NA,184,NA,"1st Half Over/Under 1.5 Goals",NA,2023-09-22 11:10:49.091362,"Over"
"10",NA,"Debrecen-Ujpest",NA,"Total Goals - 1st Half 1.5",NA,NA,"1st Half Over/Under 1.5 Goals",NA,NA,"Under",NA,NA,"Under 1.5",NA,NA,-275,NA,NA,-240,NA,"1st Half Over/Under 1.5 Goals",NA,2023-09-22 11:10:49.091362,"Under"
